"chrom","len","n_mappable","sample","median_coverage","variance","p.uncovered","n.telomeres","mean_cov","high_cov","weird"
"scf_8253803",8327,1238,"TtM0",0,380.8517,0.6759451,0,0,FALSE,FALSE
"scf_8253803",8327,1238,"TtM51",0,104.9369,0.5689802,0,0,FALSE,TRUE
"scf_8253803",8327,1238,"TtM29",0,55.87656,0.6447065,0,0,FALSE,FALSE
"scf_8253803",8327,1238,"TtM19",0,129.4397,0.5710466,0,0,FALSE,FALSE
"scf_8253803",8327,1238,"TtM50",0,505.9031,0.7554394,0,0,FALSE,FALSE
"scf_8253803",8327,1238,"TtM20",0,56.72571,0.7695393,0,0,FALSE,FALSE
"scf_8253803",8327,1238,"TtM47",0,333.739,0.5533001,0,0,FALSE,TRUE
"scf_8253803",8327,1238,"TtM25",0,26.34951,0.7431628,0,0,FALSE,FALSE
"scf_8253803",8327,1238,"TtM28",0,128.5364,0.747417,0,0,FALSE,FALSE
"scf_8253803",8327,1238,"TtM531",0,205.192,0.7584782,0,0,FALSE,FALSE
"scf_8253803",8327,1238,"TtM44",0,326.1553,0.7352619,0,0,FALSE,FALSE
"scf_8253803",8327,1238,"TtM40",0,9.723468,0.8948584,0,0,FALSE,FALSE
"scf_8253805",22102,22002,"TtM19",42,74.97841,0.0001818017,0,42.1985635076981,FALSE,FALSE
"scf_8253805",22102,22002,"TtM28",29,284.9075,0.0001363512,0,29.1357788978521,FALSE,FALSE
"scf_8253805",22102,22002,"TtM0",19,821.6722,0.002363422,0,19.1315717634379,FALSE,FALSE
"scf_8253805",22102,22002,"TtM40",7,67.38755,0.03313335,0,7.27278708963551,FALSE,FALSE
"scf_8253805",22102,22002,"TtM29",26,40.21322,0,0,26.1181710753568,FALSE,FALSE
"scf_8253805",22102,22002,"TtM50",64,2653.535,0,0,64.2908826470321,FALSE,FALSE
"scf_8253805",22102,22002,"TtM25",28,43.51791,4.545041e-05,0,28.1285396117346,FALSE,FALSE
"scf_8253805",22102,22002,"TtM44",74,3801.932,0,0,74.3363330606308,FALSE,FALSE
"scf_8253805",22102,22002,"TtM20",27,62.79834,0.0009999091,0,27.1498635123064,FALSE,FALSE
"scf_8253805",22102,22002,"TtM51",37,54.75287,9.090083e-05,0,37.1715454546496,FALSE,TRUE
"scf_8253805",22102,22002,"TtM531",41,639.8289,0.0008635579,0,41.2219442313493,FALSE,FALSE
"scf_8253805",22102,22002,"TtM47",33,131.2063,0.0002272521,0,33.1575214812633,FALSE,TRUE
"scf_8253806",1646,913,"TtM0",0,0.1058859,0.8797084,0,0,FALSE,FALSE
"scf_8253806",1646,913,"TtM28",0,0.682516,0.527339,0,0,FALSE,FALSE
"scf_8253806",1646,913,"TtM51",1,0.7011874,0.31774,0,2.64246438990265,FALSE,TRUE
"scf_8253806",1646,913,"TtM20",0,0.1068077,0.8784933,0,0,FALSE,FALSE
"scf_8253806",1646,913,"TtM531",0,0.1044976,0.881531,0,0,FALSE,FALSE
"scf_8253806",1646,913,"TtM47",0,0,1,0,NA,FALSE,TRUE
"scf_8253806",1646,913,"TtM25",0,0,1,0,NA,FALSE,FALSE
"scf_8253806",1646,913,"TtM29",0,0.1077266,0.8772783,0,0,FALSE,FALSE
"scf_8253806",1646,913,"TtM19",0,0,1,0,NA,FALSE,FALSE
"scf_8253806",1646,913,"TtM40",0,0.05009215,0.9471446,0,0,FALSE,FALSE
"scf_8253806",1646,913,"TtM44",0,0,1,0,NA,FALSE,FALSE
"scf_8253806",1646,913,"TtM50",0,1.541699,0.7272175,0,0,FALSE,FALSE
"scf_8253807",16558,14598,"TtM19",53,463.6088,0.04769717,1,63.1270236733433,FALSE,FALSE
"scf_8253807",16558,14598,"TtM0",26,744.6131,0.0422287,1,30.7911598133072,FALSE,FALSE
"scf_8253807",16558,14598,"TtM47",41,382.5863,0.05255803,1,49.0846565304218,FALSE,TRUE
"scf_8253807",16558,14598,"TtM51",47,269.8239,0.05085673,1,56.1669193385094,FALSE,TRUE
"scf_8253807",16558,14598,"TtM20",37,248.8357,0.1079718,1,47.0476200289867,FALSE,FALSE
"scf_8253807",16558,14598,"TtM29",31,183.2782,0.0722445,1,37.9003023985501,FALSE,FALSE
"scf_8253807",16558,14598,"TtM44",42,3382.027,0.05510998,1,50.4176440002615,FALSE,FALSE
"scf_8253807",16558,14598,"TtM531",45,958.6482,0.05346944,1,53.9252779658497,FALSE,FALSE
"scf_8253807",16558,14598,"TtM50",64,1707.901,0.1010451,1,80.7526138846829,FALSE,FALSE
"scf_8253807",16558,14598,"TtM25",24,123.2909,0.1155669,1,30.7794441742303,FALSE,FALSE
"scf_8253807",16558,14598,"TtM40",11,144.295,0.1211569,1,14.1969762814795,FALSE,FALSE
"scf_8253807",16558,14598,"TtM28",31,479.8622,0.06780897,1,37.7199660480729,FALSE,FALSE
"scf_8253811",494993,490420,"TtM28",43,375.7062,0.004337435,2,43.5900293201128,FALSE,FALSE
"scf_8253811",494993,490420,"TtM25",28,41.73314,0.004688955,2,28.3942297594642,FALSE,FALSE
"scf_8253811",494993,490420,"TtM51",37,56.66458,0.0006444536,2,37.3690950861752,FALSE,TRUE
"scf_8253811",494993,490420,"TtM29",29,45.38607,0.004412184,2,29.4001339549916,FALSE,FALSE
"scf_8253811",494993,490420,"TtM19",48,83.7992,0.003925308,2,48.6385048158257,FALSE,FALSE
"scf_8253811",494993,490420,"TtM0",35,868.9243,0.004492993,2,35.4858005708924,FALSE,FALSE
"scf_8253811",494993,490420,"TtM50",115,2661.608,0.0008707194,2,116.173490468852,FALSE,FALSE
"scf_8253811",494993,490420,"TtM20",32,56.68096,0.003991976,2,32.4278402960364,FALSE,FALSE
"scf_8253811",494993,490420,"TtM40",16,134.0708,0.01552749,2,16.4039060551537,FALSE,FALSE
"scf_8253811",494993,490420,"TtM531",59,831.6979,0.00464249,2,59.827905421852,FALSE,FALSE
"scf_8253811",494993,490420,"TtM44",117,5513.784,0.01375171,2,119.737581778646,FALSE,FALSE
"scf_8253811",494993,490420,"TtM47",47,277.1199,0.001416182,2,47.5055355275836,FALSE,TRUE
"scf_8253812",1924,755,"TtM40",1,3.9989,0.4454262,0,4.59514021553295,FALSE,FALSE
"scf_8253812",1924,755,"TtM0",0,13.53215,0.5233888,0,0,FALSE,FALSE
"scf_8253812",1924,755,"TtM531",5,164.4031,0.4090437,0,21.5611913339525,FALSE,FALSE
"scf_8253812",1924,755,"TtM19",26,306.7161,0.2032225,0,83.1561554416184,FALSE,FALSE
"scf_8253812",1924,755,"TtM28",6,95.62253,0.3934511,0,25.2082993228832,FALSE,FALSE
"scf_8253812",1924,755,"TtM47",11,64.25428,0.1507277,0,33.0068319424408,FALSE,TRUE
"scf_8253812",1924,755,"TtM50",12,174.552,0.3560291,0,47.4868234734382,FALSE,FALSE
"scf_8253812",1924,755,"TtM44",15,393.386,0.3326403,0,57.278204786585,FALSE,FALSE
"scf_8253812",1924,755,"TtM20",18,103.3651,0.1647609,0,54.918643865567,FALSE,FALSE
"scf_8253812",1924,755,"TtM29",12,61.26945,0.1491684,0,35.9414629761414,FALSE,FALSE
"scf_8253812",1924,755,"TtM25",15,128.5479,0.202183,0,47.9121973621945,FALSE,FALSE
"scf_8253812",1924,755,"TtM51",18,130.1391,0.2198545,0,58.7969791218391,FALSE,TRUE
"scf_8253813",1480,1132,"TtM20",21,75.72132,0.01756757,0,27.9467875349886,FALSE,FALSE
"scf_8253813",1480,1132,"TtM29",18,47.85895,0.004054054,0,23.6293636206976,FALSE,FALSE
"scf_8253813",1480,1132,"TtM0",6,22.1494,0.04864865,0,8.24566335896604,FALSE,FALSE
"scf_8253813",1480,1132,"TtM19",31,148.1328,0.006081081,0,40.7780097157895,FALSE,FALSE
"scf_8253813",1480,1132,"TtM50",34,329.974,0.02702703,0,45.6870829821593,FALSE,FALSE
"scf_8253813",1480,1132,"TtM28",14,47.14329,0.03243243,0,18.9174249874818,FALSE,FALSE
"scf_8253813",1480,1132,"TtM47",2,1.399016,0.1594595,0,3.11090422103312,FALSE,TRUE
"scf_8253813",1480,1132,"TtM531",19,97.1348,0.05810811,0,26.3735038628407,FALSE,FALSE
"scf_8253813",1480,1132,"TtM25",22,58.97397,0.007432432,0,28.978632599642,FALSE,FALSE
"scf_8253813",1480,1132,"TtM44",17,73.40304,0.03310811,0,22.9872115380904,FALSE,FALSE
"scf_8253813",1480,1132,"TtM40",4,5.307622,0.04324324,0,5.46605176722095,FALSE,FALSE
"scf_8253813",1480,1132,"TtM51",27,86.33165,0.01216216,0,35.7349677522886,FALSE,TRUE
"scf_8253815",515885,514537,"TtM20",32,53.07672,0.0003508534,2,32.0950952663394,FALSE,FALSE
"scf_8253815",515885,514537,"TtM44",124,5696.245,0.0005640792,2,124.395027695744,FALSE,FALSE
"scf_8253815",515885,514537,"TtM19",49,68.28889,0.0003586071,2,49.1459958236343,FALSE,FALSE
"scf_8253815",515885,514537,"TtM29",29,39.494,0.0003818681,2,29.0870825288841,FALSE,FALSE
